,Album,Tracks,Features,Producer,Writer,Year,Lyrics,Length
0,Superstar,Say My Name,,E. Kelly,Ayodeji Balogun,2011.0,"They call me young oo boy everybody talk about ur boy wizzy now am in my zone boy am going in any beat just halla when u see me i feel blessed oo i tank god ooo from grass to grace am going higher oooo...
I keep pushing on i no retire ooo...
Till the day that i die yeah im on fire oooo...
See everywhere i go and everywhere i beee...
Eeeee...
Be it in lasgidi or overseas
See everybody call my name...
Wizzy
See everybody call my name...
Wizzy...
See everybody say my name
Wizzy
See evrybody say my name 
Wizzy...
Eeehh...
Wizzy keep it goin yh...
Everytym the beat drops yh i got d ppl goin everytym the beat drops
Wizzy
Wizzy...
Wizzy...
Wizzy
Now wen i drive-by gurls say hi...
Yung yung wizzy the boy too fly...
Evryday i ball
Yh born recessional
Reppin emezzy ryt now are we in sessional
Yhh back in the days gurls play me like ping pong
Bt rite nw hee hee na me be king kong I ride in a lincon
Call me supper wizzy cause the sky is my hme n I'm d young boss",3:46
1,Superstar,No Lele,,"Masterkraft, Banky W",Ayodeji Balogun,2011.0,"Ojuelegba Shitta
Ask my sister
My music travel no visa
Oya ask your sister
(she not fit say she no know me
You feel the beat, you go down low) X2
Omo, day by day
Mi, I dey grind, I dey hustle
Make you ask Wande
Him go yan you
How di ting go
Say bad mind fit talk
But I swear mi no send dem
Na, dem get there mout ooo
Let dem run their mout ooo
Dem say dem no no how dis scum boy come from ghetto make am
Dem say dem no no how, dis scum boy come from gutter make am
See, I go be number one, as a born champion no lele When I wake up everyday
I go down on my knees and pray
Thank my God for another day
With his name I no go fail
Right now me and my friends we dey bling ooo
Everywhere I go, everybody just dey sing ooo
Even in my hood, dem dey call me di king ooo
Star boy weezy, ah so di ting go
You di one, weezy you di one
Everywhere we go dem say weezy you di one now You di man, weezy you di man
Everywhere we go dem say weezy you di man now Dem say dem no no how dis scum boy come from ghetto make am
Dem say dem no no how, dis scum boy come from gutter make am
See, I go be number one, as a born champion no lele When dem tell you say, you no go fit
My brother make you tell dem say no le le
No lele, no lele, no lele
When dem tell you say, you no go fit
My sista make you tell dem say no le le
No lele, no lele, no lele
When dem tell mi say, I no go fit
My sista say, I tell dem say no le le
No lele, no lele, no lele
I keep going to the top
And I promise to never stop
Say my eye is on the gold
And im neva letting go oh oh!
Dem say dem no no how dis scum boy come from ghetto make am
Dem say dem no no how, dis scum boy come from gutter make am
See, I go be number one, as a born champion no lele Se bi omo ana lo ti di olowo Se bi omo ana lo ti di olola Se bi omo ana lo ti di olowo Se bi omo ana lo ti di olola aaa ree ye!
Ahh!! AHH!",3:38
2,Superstar,Scatter The Floor,,Jay Sleek,Ayodeji Balogun,2011.0,"Iyeyeyeee oh no
Iyeyeyeee
Say girl I'm knocking and I'm begging
Make you open the door, make you open
The door yeah yeah yeah yeah
Say make you follow me go, say make we
Dance on the floor, make we dance on the
Floor, yah baby scatter the floor
Iyeye say I make you scatter the floor, say
Make you scatter the floor, say make you
Scatter the floor
Iyeye just dance and scatter the floor
Make you scatter the floor
Oyaa oya wait baby jeka negotiate
Farabale dada jeka jo relate
Oma so fun mi pa Wizzy mo appreciate
So dont hesitate lets go to my estate
Me plus you oya je ka calculate
So dont dull sha je ko ma regulate
Just show love there is no reason to wait
Lowkey my baby dont be late
Ahh ama celebrate my money and your
Money no be mate
Haaa ama celebrate my money and their
Money no be mate
Say girl I'm knocking and i'm begging
Make you open the door, make you open
The door
Say make you follow me go, make we
Dance on the floor, yaa baby scatter the
Floor
Say make you scatter the floor (3ce)
Just dance and scatter the floor, make you scatter the floor
Oya gbe si mommy ja wole
Oya mo ma shi bolobo lai lo le
Oya tele mi lo ka lo le
Me and you ja wole
Becasue i'm feeling you and the way you move
And i really want to get to know you and the things you do
And I wanna take you everywhere and buy you what you
Choose
Oh my baby girl my love I will buy you new shoes to dance
And scatter the floor, to move and shake on the floor
Dance for me girl lets communication, with the way you
Whine I can't concentrate
My heart dey go kpo kpo di kpo kpo
Oh my baby just tell me the koko
I promise to love you right, promise to treat you right
For you my baby girl, my heart dey do kpo kpo di kpo kpo
Oh my baby just tell me the koko
Promise to love you right, promise to treat you right
Thats why i'm telling you say say
Say girl i'm knocking and i'm begging make you open the
Door, make you open the door
Say make you follow me go say make we dance on the floor
Make we dance on the floor, ya baby scatter the floor
Iyeyeye say i make you scatter the floor
Make you scatter the floor
Iyeyeye just dance and scatter the floor
Dont be late now 3ce",3:41
3,Superstar,"Pakurumo""",,Samklef,Ayodeji Balogun,2011.0,"[Verse 1]
The way she dance, the way she moves just makes me wanna take her home
The way she carries that back dey make me wan they carry this girl dey go
And I love her, and I like her and I wanna take her home
So we go dance and, we go jolly and and we go party like '99

[Chorus]
Shebi emi na sha na ni
I want you to be my honey
I want you to be my lady
Come make we dance, make them spray us money
Shebi Samklef sha na ni
Ati Wizzy na sha na ni
Dance to the beat, no dey slack, my baby
Koko bilo, my lady
Oya Funke, Pakurumo, pakurumo ko jo dada
Halimo, Pakurumo, pakurumo ko jo dada
Tolani, Pakurumo, pakurumo ko jo dada
Folake, Pakurumo, oya pakurumo ko jo dada
Funke, Pakurumo, pakurumo ko jo dada
Halimo, Pakurumo, pakurumo ko jo dada
Tolani, Pakurumo, oya pakurumo ko jo dada
Folake, Pakurumo, oya pakurumo ko jo dada

[Verse 2]
Mo ni ni mo ni ni
Mo deji mo deji
To ba ni oni lo ma, ola lo ma mu, ma se foya
Mo ni ni mo ni ni
Mo deji mo deji
To ba ni oni lo ma, ola lo ma mu, ma se foya
Ijo n be lese re o baby
Iwo sha ma jo lai fese ko baby
Ijo n be lese re o baby
Iwo sha ma jo lai fese ko baby
The way you wine wine wine
You blow my mind mind mind
I love the way you wine wine
Girl you blow my mind mind mind
The way you wine wine wine
You blow my mind mind mind
See I love the way you wine wine
Girl you blow my mind mind mind


[Chorus]
Shebi emi na sha na ni
I want you to be my honey
I want you to be my lady
Come make we dance, make them spray us money
Shebi Samklef sha na ni
Ati Wizzy na sha na ni
Dance to the beat, no dey slack, my baby
Koko bilo, my lady
Oya Funke, Pakurumo, pakurumo ko jo dada
Halimo, Pakurumo, pakurumo ko jo dada
Tolani, Pakurumo, pakurumo ko jo dada
Folake, Pakurumo, oya pakurumo ko jo dada
Funke, Pakurumo, pakurumo ko jo dada
Halimo, Pakurumo, pakurumo ko jo dada
Tolani, Pakurumo, oya pakurumo ko jo dada
Folake, Pakurumo, oya pakurumo ko jo dada

[Outro]
Alhaji M.O. Balogun
A kin yin o (eh eh)
E na mi lowo o (eh eh eh eh)
Gominor mi Fashola (baba)
A ri yin o (eh eh)
E na mi lowo o (eh eh eh eh)
Mrs. J.M. Balogun
Mo ri yin o (eh eh)
E na mi lowo o (eh eh eh eh)
Mr. Wellington (oo ooo)
A ki yin o (eh eh)
E na mi lowo o (eh eh eh eh)
Spray me the money",3:32
4,Superstar,Slow Whine,Banky W,Samklef,"Ayodeji Balogun, Olubankole Wellington",2011.0,"Say baby girl see I love the you whine it
Say me I love the way you whine it
Cool now I love the way you whine it
Say me I love the way you whine it
Baby girl, just dance and rewhine it
I make you whine and rewhine it
Cool now whine and rewhine it
Baby whine and rewhine it
Me, I am feeling cool now
Its Friday dance and move now
Dance to rhythm and blues now
Anything that makes you move now (eh eh)
That girl so rude now
She got me in the mood now
She sweet pass rhythm and blues now
You whine so fast please slow down
Move you go me so con-fuse
You got me in the mo-od
You got a boy feeling go-od (ye eh)
The way you move
You go me so con-fuse
You got me in the mo-od
You got a boy feeling go-od (ye eh)
(ye eh eh eh eh eh eh eh eh e ye ye ye oh ye eh eh ye eh eh eh eh eh eh eh)
Baby girl see I love the you whine it (I love the way you whine)
Say me I love the way you whine it (ye)
Cool now I love the way you whine it (way you whine)
Say me I love the way you whine it (ye ye ye)
Baby girl, just dance and rewhine it
I make you dance and rewhine it
Cool now dance and rewhine it
Baby dance and rewhine it
She's on the floor with mr w
Unzip my sokoto see if its true
Hypnotized and turn to fool
All by the way she move chai
Now I know down slow
E be like say I dey loose control
On the wall then down to the floor
Never gonna let you go
Move I'm so into you
Got a man feeling cool
Say you'll be my boo (ye eh)
Baby girl me and wizzy like dbanj and wande
Like chika and kanye
And am addicted to you
Down to the way you move
Do it me girl
Baby girl see I love the you whine it
See I love the way you whine it
Cool now I love the way you whine it
Say me I love the way you whine it
Baby girl, just dance and rewhine it
And maybe dance and rewhine it
Cool now dance and rewhine it
I'll make you dance and rewhine it
You look so fine my love
I really wanna make you mine my lo-ve oh
So take your time my love the way that you whine this thing is my lo-ve oh
So fun won pe e don't really matter
So fun won pe amongst other girls whose thinks you hater
You make me go ding dong and the way that whine you make me sing song
See you too fine na who born you
See all the guys just got their eyes on you
See all the girls get bad mind for you
Dem try but they got nothing on you
Say you too fine na who born you
See all the guys just got their eyes on you
And all the girls get bad mind for you
Dem try but they got nothing on you
Baby girl see I love the you whine it
Say me I love the way you whine it
Cool now I love the way you whine it
Say me I love the way you whine it
Baby girl, just dance and rewhine it
And maybe dance and rewhine it
Cool now dance and rewhine it
I'll make you dance and rewhine it",4:00
5,Superstar,Love My Baby,,Shizzi,Ayodeji Balogun,2011.0,"O no o o o x2
E ye ye eee
Wizzy o no
Verse 1
Oh my love
I'll never ever ever ever do you wrong
I will always always always do you right
I'll treat you like a queen
I'll buy you diamond rings
I swear my baby i say no be lie
I love to hear u laugh and watch you smile
I'll give you all the finest things in life
You are the angel of my life
The love of my life
Chorus
I love my baby thats my baby
I will treat my baby right
Hold my baby tight
Baby no be lie
I love my baby
Thats my baby
I will treat my baby right
Hold my baby tight
Baby no be lie
I love my baby oh oh oh ohhhh
Thats my baby eh eh eh ehhhhh
I love my baby oh oh oh ohhhh
Thats my baby eh eh eh ehhh
Verse 2
Girl i swear to you theres no lettin go
Na u dey make my head dey ring oo
I dream about u
When am sleepin and you are the air am
Breathing girlll
Bridge
You are the love of my life
The apple of my eye
Am so happy that you mine
Love you till the day i die 2x
Chorus
I love my baby thats my baby
I will treat my baby right
Hold my baby tight
Baby no be lie 2x
I love my baby oh oh oh ohhhh
Thats my baby eh eh eh ehhhh 2x
Bridge
I want to hold my baby
I want to love my baby
I want to dance with my baby
I want to kiss my baby
I want to show my baby love
Want to hold my lady
I want to dance with my baby eh ye ehhh
Chorus
I love my baby
Thats my baby
I will treat my baby right
Hold my baby tight
Baby no be lie 4x
I love my baby oh oh oh ohhhh
Thats my baby eh eh eh ehhhh 2x
Outro
O noo o o o
I want 2 kiss my baby
I want to love my baby
Ok
O nah nah nah nah
Dance with me my baby
Aniko love with me my baby
Oya omalisha dance with me my baby
Halina oya dance with me
Yarinya
O no no o oo ooo
O no no no no eh 2x
Iyawo mi o no no
Aya ji o ni ko
O no no",4:06
6,Superstar,Gidi Girl,,DJ Klem (Knighthouse),Ayodeji Balogun,2011.0,"Ahaa, you're my Gidi girl
It's your guy PK
Repping Emezzy

1stYou are all that I want girl
More precious to me than
That man's impearl
Like a star you light up my world
The way I feel inside
Always on my mind
Yeah
And I can't get over you
Cause you got me so confused
And you got me in the mood
And you make me feel brand new

You're my Gidi girl
E be like say I hammer
Me and you forever
You're my Gidi girl
You love dey make me maga
Me and you forever, ever

2ndShe's my moonlight
She light up my life
I'll never ever leave you too stay
I promise I will stay with you till the end
Hahn, never leave your side
Be my bride
You're my type, you're my life
You plus me equals light
You leave me and it equals night
Girl I really want you beside me
I will be your king and you'll be my wifey
Cause I really want you to stand right beside me
No one can take your place
Girl I really want you beside me
I will be your king and you'll be my wifey
Cause I really want you to stand right beside me
No one can take your place


You're my Gidi girl
E be like say I hammer
Me and you forever
You're my Gidi girl
You love dey make me maga
Me and you forever, ever X2

You my only girl
And am your only man
I can't deny the attraction
That I feel inside
Girl you so fine
And you so fly
Baby na you be my angel

You're my Gidi girl
E be like say I hammer
Me and you forever
You're my Gidi girl
You love dey make me maga
Me and you forever, ever X2",4:10
7,Superstar,Oluwa Lo Ni,,Jay Sleek,Ayodeji Balogun,2011.0,"Alright, Alright, Alright, Alright, Jay Sleeky Sleeky
Say bad man feel my flow, but dem like from say dem
Know too knowI started on the streets I know, I
Remember back in the days I know
One jeans, one shirt, and that same shoe
Every day say we dey hustle. We just tryna make a
Living, but bad man say dem don't likeee ohhhhI kept
On believing, what you see sometimes can be
Deceiving. Man crying, still see, and the death still
Talk and am still breathing. Suffer doesn't kill you
Just makes you stronger
Somethings I see just makes me ponder. People still
Bussin' my guy I wonder. I say i know know o
**Se b'Oluwa lo ni maribatise, se b'Oluwa lo
Ni ma r'odun m'odun, se b'Oluwa lo ni ma f'ayo
S'ayo
'Cause dey got to know, say bad man got to
Knowwww say say. No be woo carry me pass, dem
Say na dem carry me pass. Dey don't stop to yan
Nem do pass
Dem say na dem too do pass. Dey wan run my race
Hundred meters, dey say dey wan run hundred
Meters. Dey want to go my way, look distance
I say bad man, look distance. I love the life I'm living
I thank my God for giving, the glitters can be
Deceiving. Some people don't pray for your healing
My brother. Look sharp, stop sleeping. I swear I
Know that feeling, of everything breaking down
Things going around
I just bounce back and say say **Se b'Oluwa
Lo ni maribatise, se b'Oluwa lo ni ma r'odun m'odun
Se b'Oluwa lo ni ma f'ayo s'ayo
Cause se dey got to know, say bad man got to
Knowwww say say
*Bridge* My brother stop crying, just count your
Blessings and name dem one by one. My sister stop
Wailing, say look your neighbor you, you go no say
God do am, for you for me
All I wan see, put your hands in the air and thank God
For what He's done for youuuuu.**Se b'Oluwa
Lo ni maribatise, se b'Oluwa lo ni ma r'odun m'odun
Se b'Oluwa lo ni ma f'ayo s'ayo
'Cause dey got to know, say bad man got to
Knowwww say.Se b'Oluwa lo ni maribatise, se
B'Oluwa lo ni ma r'odun m'odun, se b'Oluwa lo ni ma
F'ayo s'ayo
'Cause dey got to know, say bad man got to
Knowwww say say",3:24
8,Superstar,Don't Dull,,Samklef,Ayodeji Balogun,2011.0,"[Hook x3]
See you sitting in the corner(Don’t dull)
Wearing Dolce & Gabbana (Don’t dull)
Our boys don hammer (Don’t dull)
We wearing all Prada (Don’t dull)

[Chours]
Oya oya ask your mommy
Awon eleyi awon eleyi won bad gon
Oya ask your daddy
Awon eleyi awon eleyi won bad gon
Mo ni ko ask your mommy
Awon eleyi awon eleyi won bad gon
Oya ask your daddy
Awon eleyi awon eleyi won bad gon

[Verse 1]
Eme wizzy mo bad gon
Is spending money in large gon
The money too much we dash gon
Most of them say, them razz gon
Na who do this beat (Samklef noni)
Na who make am hit (Wizzy noni)
Chilling with my guy (Piper noni)
And we keeping it real


Oya komole ma jo lo, baby (ma jo lo)
Mo ni ko komole ma jo lo, baby (ma jo lo)
Mo ni ko komole ma jo lo baby
Mo ni ko komole ma jo lo baby

[Hook x2]
See you sitting in the corner (Don’t dull)
Wearing Dolce & Gabbana (Don’t dull)
Our boys don hammer (Don’t dull)
We wearing all Prada (Don’t dull)

[Chours]
Oya oya ask your mommy
Awon eleyi awon eleyi won bad gon
Oya ask your daddy
Awon eleyi awon eleyi won bad gon
Mo ni ko ask your mommy
Awon eleyi awon eleyi won bad gon
Oya ask your daddy
Awon eleyi awon eleyi won bad gon

[Verse 2]
Your money can’t move me
My money and your money, no be mate
Your money can’t move me
My money and your money no dey the same rate
See my money too large o
This boy too bad o
The girls dem love my style
That’s why dey want to do me do me
This girl she want to do me do me
That girl she want to do me do me
This girl she want to do me do me
That girl self she want to do me do me
This girl she want to do me do me
That girl self she want to do me do me
Your girlfriend she want to do me do me
This girl self e want do me


Oya komole ma jo lo, baby
Mo ni ko komole ma jo lo, baby
Mo ni ko komole ma jo lo baby
Mo ni ko komole ma jo lo baby

[Hook x2]
See you sitting in the corner (Don’t dull)
Wearing Dolce & Gabbana (Don’t dull)
Our boys don hammer (Don’t dull)
We wearing all Prada (Don’t dull)

[Chours]
Oya oya ask your mommy
Awon eleyi awon eleyi won bad gon
Oya ask your daddy
Awon eleyi awon eleyi won bad gon
Mo ni ko ask your mommy
Awon eleyi awon eleyi won bad gon
Oya ask your daddy
Awon eleyi awon eleyi won bad gon

Hmmm, I am bad gon
Yea yea, mo bad gon
Yeaa, baby no dull me
Yea, two times no dull me
Low key, low key
Give it to me, give it to me
Low key
Don’t let your mother know
Don’t let your father know
Don’t let your mother know
Take it gently, low key
Don’t let your mother know
Take it gently, low key",4:39
9,Superstar,Tease Me/Bad Guys,,Samklef,Ayodeji Balogun,2011.0,"[Verse 1]
Fine girl no pimples
Yeah I love your swag, and I love your dimple, simple
Yea yea yea
Yea yea yea
No one can test
'Cos you dey place
You make the girls feel oppressed
I'm so obsessed
Just to see your face
I can go to space
Girl, come on, girl
No delay
I know you can feel my pain
Girl, come on, girl
No delay
Just

[Hook]
Please me tease me tease me tease me, baby
Please me please me please me please me, baby
Girl come on, girl come on, come on, girl come on
Come on girl, come on girl, come on, girl come on girl

Na me be bad guys
Hmmm, that fly guys
That special type of fine guys
Hmmm, that sharp guys
Na me be hard guys
Hmmm, and I have bad guys
That know bad guys
Hmmm, I


[Hook]
Just tease me tease me tease me tease me, baby
Tease me please me please me please me, baby
Come on girl, just come on girl, just come on girl, just come on girl
Eh

[Verse 2]
I know bad guys
Hmmm, that know real bad guys
Na me be sharp guy
Hmmm, and I offer you bad guys
Bad guys, huh
And I know some bad guys that know some other guys
So call me hard guy
Na me bad guys
Hmmm, na me be bad guys
Hmmm, o girl, na me be bad guys
'Cos I have bad guys
And I know sharp guys (And I know)
And I know bad guys (And I know)
I know bad guys
And I know other guys that know real guys
Eh

And I know bad guys, Skales
I know bad guys, Samklef
And I know other guys, D'Prince
Some bad guys, Iceprince
And I know other guys, M.I
Other guys, Jesse Jagz
And I know some guys, Eldee
Some guys, Sid
And I know real guys, Saucekid
Other guys, Wande
And I know my guys, D'Prince
Eh eh
And I know


[Hook]
Tease me tease me tease me tease me, baby
Please me please me please me please me, baby
Come on girl, come on girl
Say come on girl, say come on girl

[Outro]
And I know bad guys, Banky W
Bad guys, Eldee
Bad guys, me
And I know other guys, Mike Tyson
And I know all the guys
All of them guys...",3:08
